file	loc	exports	imports_internal	io_fs	io_proc	io_net	io_sqlite	io_env	singleton_state
runtime-models-api.ts	95	7	actor-context,codex-runtime,pins-store,types	n	n	n	n	n	n
scratch-gc.ts	226	12		y	n	n	n	n	n
send-ledger.ts	357	20	observed-human-input,types	y	n	n	n	n	n
service.ts	330	24	cgroups,codex-runtime,daemon-config,fleet-inventory,fs,git,pwa,session-manager,types,warden-attention,warden-detect,warden-verdicts	n	n	n	n	n	n
session-manager.ts	9201	17	actor-context,attachments,cgroups,claude-transcript,codex-runtime,codex-transcript,core,daemon-config,failover,fleet-inventory,fs,harness,io,liveness,names,observed-human-input,paths,provider-outage,pwa,scratch-gc,send-ledger,service,storage,task-boards-store,tmux-controller,transcript-search,types,usage,version,warden-bless,warden-concurrency,warden-detect,warden-failover,warden-provenance,warden-reports,warden-verdicts	y	y	n	n	y	n
session-tasks-store.ts	631	20	io,paths,tasks-store,tasks-types	y	n	n	n	n	n
skills.ts	347	7		y	n	n	n	n	n
start-timeout.ts	41	4		n	n	n	n	n	n
stop-cli.ts	512	22	service	n	n	n	n	y	n
storage.ts	1792	18		y	n	n	y	y	n
stt-audio.ts	219	8	stt-types	n	n	n	n	n	n
stt-enhancement.ts	407	16		n	n	y	n	y	n
stt-model.ts	667	13	io,stt-paths,stt-types	y	y	y	n	n	n
stt-paths.ts	30	4	paths	n	n	n	n	n	n
stt-service.ts	563	6	paths,stt-audio,stt-enhancement,stt-model,stt-paths,stt-types,stt-worker-client,version	y	n	n	n	n	n
stt-types.ts	194	29		n	n	n	n	n	n
stt-worker-client.ts	916	14	stt-types	y	y	n	n	y	n
stt-worker.ts	229	0	stt-types	y	n	n	n	n	y
task-boards-api.ts	583	14	io,paths,task-boards-store,task-boards-types,task-boards,tasks-api,tasks-types	y	n	n	n	n	n
task-boards-cli.ts	379	10	paths,task-boards-api,task-boards-types	y	n	n	n	y	n
task-boards-store.ts	1019	16	io,paths,session-tasks-store,task-boards-types,tasks-store,tasks-types	y	n	n	n	n	n
task-boards-types.ts	339	25	session-tasks-store,tasks-types	n	n	n	n	n	n
